Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Manufacturer~String~Manufacturer~100|Field=PartNumber~String~PartNumber~100|Field=Quantity~Integer~Quantity~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Voltage_distribution.PrjPcb|ReportField=ProjectFullPath~Y:\2019\z_LaserDriverBox_publishing\Voltage_distribution\Voltage_distribution.PrjPcb|ReportField=Title~Bill of Materials For Project [Voltage_distribution.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~14|ReportField=ReportTime~16:23:06|ReportField=ReportDate~09.09.2019|ReportField=ReportDateTime~09.09.2019 16:23:06|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~09.09.2019|ReportField=CurrentTime~15:56:25|ReportField=Date~|ReportField=DocumentFullPathAndName~Y:\2019\z_LaserDriverBox_publishing\Voltage_distribution\Sheet1.SchDoc|ReportField=DocumentName~Sheet1.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~09.09.2019|ReportField=Organization~|ReportField=ProjectName~Voltage_distribution.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Voltage_distribution.PrjPcb|ReportField=DataSourceFullPath~Y:\2019\z_LaserDriverBox_publishing\Voltage_distribution\Voltage_distribution.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|100uF 6.3V|CAP 100uF 6.3V ±20% 1206 (3216 Metric) Thickness 1.9mm SMD|C1, C3|CAPC1206(3216)190_L|CMP-00469-1|||2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D885012108005%26seller%3DRSComponents%26sku%3D1813427%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D885012108005%26seller%3DRSComponents%26sku%3D1813427%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}885012108005{URL.TIP}Manufacturer|RSComponents||2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D885012108005%26seller%3DRSComponents%26sku%3D1813427%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1813427{URL.TIP}Supplier|0||
2|100n|generic 0805 COG oder X7R Vielschichtkondensatoren max. +/-10%|C2, C4|CAPC2013X88X50ML20T25|CMP-001-0082-2|||2|{URL}{URL.TEXT}{URL.TIP}Component||{URL}{URL.TEXT}{URL.TIP}Manufacturer||||{URL}{URL.TEXT}{URL.TIP}Supplier|||
3|885 352 210 013|1,0nF  1808  250V|C5|CAPC1808(4520)215_M|CMP-001-0032-3|Wurth Electronics Inc.|885 352 210 013|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D885352210013%26seller%3DMouser%26sku%3D710-885352210013%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D885352210013%26seller%3DMouser%26sku%3D710-885352210013%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}885352210013{URL.TIP}Manufacturer|Mouser||1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D885352210013%26seller%3DMouser%26sku%3D710-885352210013%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}710-885352210013{URL.TIP}Supplier|6343||2,34
4|1uF|CAP CER 1UF 10V X7R 1206|C6, C7|CAPC1206(3216)190_N|CMP-001-0138-A.1|Wurth Electronics Inc.||2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D885012208013%26seller%3DMouser%26sku%3D710-885012208013%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|885012208013|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D885012208013%26seller%3DMouser%26sku%3D710-885012208013%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}885012208013{URL.TIP}Manufacturer|Mouser||2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D885012208013%26seller%3DMouser%26sku%3D710-885012208013%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}710-885012208013{URL.TIP}Supplier|4141||0,16
5|61300511121|5Pol; gerade; WR-PHD 2.54 mm THT Pin Header|J1, J2, J3, J4, J5|61300411121|CMP-001-0074-1|Wurth Electronics|61300511121|5|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300511121%26seller%3DRSComponents%26sku%3D1725163%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|61300511121|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300511121%26seller%3DRSComponents%26sku%3D1725163%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300511121{URL.TIP}Manufacturer|RSComponents||5|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300511121%26seller%3DRSComponents%26sku%3D1725163%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1725163{URL.TIP}Supplier|0||
6|WE - 744773168|WE-PD2 SMD-Speicherdrossel; 68uH; 0,68A; L = 68 μH ±10%; IR = 0.56A; Isat = 0.68 A; RDC = 1.117 Ω|L1|WE-PD2-S|CMP-001-0054-3|Wurth Electronics|744773168|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D744773168%26seller%3DNewark%26sku%3D08P2813%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D744773168%26seller%3DNewark%26sku%3D08P2813%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}744773168{URL.TIP}Manufacturer|Newark||1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D744773168%26seller%3DNewark%26sku%3D08P2813%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}08P2813{URL.TIP}Supplier|23||1,79
7|177920511|FISM Fisxed Isolated Module 177 920 511 Isolierte SIP Modul mit fixem Ausgang, DC/DC converter, 5Vin 5Vout, 200mA|U1|WE-FSIM-SIP-4|CMP-001-0110-A.2|Wurth Electronics Inc.|177 920 511|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D177920511%26seller%3DNewark%26sku%3D12AC6844%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|177920511|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D177920511%26seller%3DNewark%26sku%3D12AC6844%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}177920511{URL.TIP}Manufacturer|Newark||1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D177920511%26seller%3DNewark%26sku%3D12AC6844%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}12AC6844{URL.TIP}Supplier|8||5,26
