Item,Serial,Company,"Price (eur, 25/01/19)",Link (25/01/19)
Power supply #1,MW 3K10GS,reichelt,8.5,https://www.reichelt.com/de/en/eco-friendly-plug-in-power-supply-max-1000-ma-usb-mw-3k10gs-p87339.html?&trstct=pos_0
Power supply #2,GS15E-1P1J,reichelt,15.1,https://www.reichelt.com/de/de/steckernetzteil-12-w-5-v-2-4-a-stabilisiert-gs15e-1p1j-p161604.html?&trstct=pos_0
