Item,Serial,Company,"Price (eur, 25/01/19)",Link (25/01/19)
405 nm laser diode,dl-7146-301s,SANYO,44.4,http://www.roithner-laser.com/ld_standard.html
488 nm laser diode,BLD-488-55,Lasertack,117.81,https://www.lasertack.com/en/55mw-488nm-laser-diode
638 nm laser diode,HL63193MG,Ushio,62,https://www.lasershop.de/red-laser-diode-hl63193mg-700mw-638nm.html?language=en
Driver,eu-38-ttl,Roithner,22,http://www.roithner-laser.com/ld_electronics.html
Agitation motor,a15112300ux0142,Sourcingmap,3.64,http://www.sourcingmap.com/dc-156v-16500rpm-vibration-electric-micro-mini-motor-140-for-massager-p-811318.html
Laser speckle-reducer,LSR-3005-17S-VIS ,Optotune,635,https://www.edmundoptics.com/f/Optotune-Laser-Speckle-Reducers/14335/
