Item,Serial,Company,"Price (eur, 25/01/19)",Link (25/01/19)
405 nm laser diode,dl-7146-301s,SANYO,44.4,http://www.roithner-laser.com/ld_standard.html
488 nm laser diode,BLD-488-55,Lasertack,117.81,https://www.lasertack.com/en/55mw-488nm-laser-diode
638 nm laser diode,HL63193MG,Ushio,62,https://www.lasershop.de/en/ushio-hl63193mg-red-laser-diode-700mw-5-6mm.html
