Item,Serial,Company,"Price (eur, 25/01/19)",Link (25/01/19)
Aluminium profile,25.01.0000,mk, ,https://shop.mk-group.com/aluprofile/serie-25/1/profil-mk-2025.01?c=5
Tension fasteners,B51.03.009,mk, ,https://shop.mk-group.com/verbindungselemente/spannverbindungen/296/spannverbinder-serie-25
Tension plug,25.50.3321,mk, ,see catalogue
Foam board,LKG55070,boesner,88,https://www.boesner.com/rahmen/rahmen/einrahmung-und-zubehoer/kapa-graph-leichtstoffplatte#30744
