Item,Serial,Company,"Price (eur, 25/01/19)",Link (25/01/19)
Cable tie base,233-663,RS Components,,https://de.rs-online.com/web/p/kabelbindermontage/0233663/
Alternative cable tie base,CMS010,Thorlabs,https://www.thorlabs.de/thorproduct.cfm?partnumber=CMS010
