Item,Serial,Company,"Price (eur, 25/01/19)",Link (25/01/19)
Agitation motor,B07777ZH3J,Amazon,18.99,https://www.amazon.de/gp/product/B07777ZH3J/ref=ox_sc_act_title_1?smid=A3TCAMEHRX2HS1&psc=1
Motor speed controller,B07K6D9ZDQ,Amazon,10.99,https://www.amazon.de/gp/product/B07K6D9ZDQ/ref=ox_sc_act_title_1?smid=A1SPOY0RBPE5BD&psc=1
